Dataset,Regularizer,Imbalance,PR_AUC_mean,PR_AUC_std
UCI_EEG,L1 (Lasso),class_weight,0.4541,0.0157
UCI_EEG,L1 (Lasso),smote,0.4557,0.0214
UCI_EEG,L2 (Ridge),class_weight,0.4513,0.0162
UCI_EEG,L2 (Ridge),smote,0.4534,0.0202
UCI_EEG,Elastic Net,class_weight,0.4527,0.016
UCI_EEG,Elastic Net,smote,0.4543,0.021
BEED,L1 (Lasso),class_weight,0.8106,0.0153
BEED,L1 (Lasso),smote,0.8105,0.017
BEED,L2 (Ridge),class_weight,0.811,0.0153
BEED,L2 (Ridge),smote,0.8109,0.0169
BEED,Elastic Net,class_weight,0.8108,0.0153
BEED,Elastic Net,smote,0.8107,0.0169
Brainwave,L1 (Lasso),class_weight,0.8239,0.0251
Brainwave,L1 (Lasso),smote,0.8287,0.0317
Brainwave,L2 (Ridge),class_weight,0.8258,0.0303
Brainwave,L2 (Ridge),smote,0.8283,0.035
Brainwave,Elastic Net,class_weight,0.8239,0.0286
Brainwave,Elastic Net,smote,0.8286,0.0329
